_id,OBJECTID,TCDSB_CODE,SCH_NAME,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,TCDSB_LEVEL,STATUS,geometry
104,103,363,St Charles Garnier,20 Stong Crt,North York,M3N 2X9,E,Open,"{'type': 'Point', 'coordinates': (-79.5181417246474, 43.762595688198815)}"
105,104,250,St Charles,50 Claver Ave,North York,M6B 2W1,E,Open,"{'type': 'Point', 'coordinates': (-79.45135069421997, 43.713281892735765)}"
106,105,214,St Clare,124 Northcliffe Blvd,York,M6E 3K4,E,Open,"{'type': 'Point', 'coordinates': (-79.44155158571799, 43.679411466612585)}"
107,106,307,St Clement,4319 Bloor St W,Etobicoke,M9C 2A2,E,Open,"{'type': 'Point', 'coordinates': (-79.57380819121458, 43.63224728651531)}"
108,107,380,St Columba,10 John Tabor Trl,Scarborough,M1B 1M9,E,Open,"{'type': 'Point', 'coordinates': (-79.2118274058293, 43.80619344792874)}"
109,108,396,St Conrad,5 Exbury Rd,North York,M3M 0A8,E,Open,"{'type': 'Point', 'coordinates': (-79.4934542895628, 43.73008525555227)}"
110,109,270,St Cyril,18 Kempford Blvd,North York,M2N 2B9,E,Open,"{'type': 'Point', 'coordinates': (-79.41670117725377, 43.77705227030721)}"
111,110,384,St Demetrius,125 La Rose Ave,Etobicoke,M9P 1A6,E,Open,"{'type': 'Point', 'coordinates': (-79.52196594207642, 43.68465421368526)}"
112,111,310,St Denis,67 Balsam Ave,former Toronto,M4E 3B8,E,Open,"{'type': 'Point', 'coordinates': (-79.28990761625663, 43.67299834669052)}"
113,112,467,St Dominic Savio,50 Tideswell Blvd,Scarborough,M1B 5X3,E,Open,"{'type': 'Point', 'coordinates': (-79.15602387058956, 43.79828437102367)}"
114,113,341,St Dorothy,155 John Garland Blvd,Etobicoke,M9V 1N7,E,Open,"{'type': 'Point', 'coordinates': (-79.59173973307492, 43.731492704350075)}"
115,114,241,St Dunstan,14 Pharmacy Ave,Scarborough,M1L 3E4,E,Open,"{'type': 'Point', 'coordinates': (-79.28423919582328, 43.69342919682878)}"
116,115,278,St Elizabeth,5 Redcar Ave,Etobicoke,M9B 1J8,E,Open,"{'type': 'Point', 'coordinates': (-79.55745670799239, 43.63494269727257)}"
117,116,356,St Edmund Campion,30 Highcastle Rd,Scarborough,M1E 4N1,E,Open,"{'type': 'Point', 'coordinates': (-79.21609071542636, 43.78803168486726)}"
118,117,386,St Elizabeth Seton,25 Havenview Rd,Scarborough,M1S 3A4,E,Open,"{'type': 'Point', 'coordinates': (-79.24670582629557, 43.788951244855475)}"
119,118,337,St Eugene,30 Westroyal Rd,Etobicoke,M9P 2C3,E,Open,"{'type': 'Point', 'coordinates': (-79.53749173516687, 43.69260280706256)}"
120,119,358,St Fidelis,9 Bannerman St,North York,M6L 2S5,E,Open,"{'type': 'Point', 'coordinates': (-79.48494848506387, 43.71728751639463)}"
121,120,385,St Florence,101 Murison Blvd,Scarborough,M1B 2L6,E,Open,"{'type': 'Point', 'coordinates': (-79.20700228170843, 43.79841396381095)}"
122,121,206,St Francis of Assisi,80 Clinton St,former Toronto,M6G 2Y3,E,Open,"{'type': 'Point', 'coordinates': (-79.41462812242838, 43.65619986701426)}"
123,122,366,St Francis de Sales,333 Firgrove Cres,North York,M3N 1K9,E,Open,"{'type': 'Point', 'coordinates': (-79.51912450714785, 43.754132914648096)}"
124,123,271,St Francis Xavier,53 Gracefield Ave,North York,M6L 1L3,E,Open,"{'type': 'Point', 'coordinates': (-79.48340706115499, 43.71084951142666)}"
125,124,256,St Gabriel,396 Spring Garden Ave,North York,M2N 3H5,E,Open,"{'type': 'Point', 'coordinates': (-79.39134138398421, 43.769357903095084)}"
126,125,377,St Gabriel Lalemant,160 Crow Trl,Scarborough,M1B 1Y3,E,Open,"{'type': 'Point', 'coordinates': (-79.22672747644506, 43.812703632210756)}"
127,126,319,St Gerald,200 Old Sheppard Ave,North York,M2J 3L9,E,Open,"{'type': 'Point', 'coordinates': (-79.32637982115116, 43.78071327420986)}"
128,127,262,St Gregory,126 Rathburn Rd,Etobicoke,M9B 2K6,E,Open,"{'type': 'Point', 'coordinates': (-79.54502120691046, 43.65963893711631)}"
129,128,395,St Henry,100 Bamburgh Crcl,Scarborough,M1W 3R3,E,Open,"{'type': 'Point', 'coordinates': (-79.32831621287478, 43.813643088630975)}"
130,129,208,St Helen,1196 College St,former Toronto,M6H 1B8,E,Open,"{'type': 'Point', 'coordinates': (-79.4361563218923, 43.65208457284434)}"
131,130,365,St Ignatius of Loyola,2350 McCowan Rd,Scarborough,M1S 4B4,E,Open,"{'type': 'Point', 'coordinates': (-79.26541329249463, 43.803578490338666)}"
132,131,315,St Isaac Jogues,1330 York Mills Rd,North York,M3A 1Z8,E,Open,"{'type': 'Point', 'coordinates': (-79.32196017313586, 43.76232534313305)}"
133,132,275,St James,230 Humbercrest Blvd,York,M6S 4L3,E,Open,"{'type': 'Point', 'coordinates': (-79.4953978793295, 43.664673690725294)}"
134,133,296,St Jane Frances,2745 Jane St,North York,M3L 2E8,E,Open,"{'type': 'Point', 'coordinates': (-79.51316564914012, 43.74214816351392)}"
135,134,294,St Jerome,111 Sharpecroft Blvd,North York,M3J 1P5,E,Open,"{'type': 'Point', 'coordinates': (-79.4885418787056, 43.74883440191967)}"
136,135,394,St Jean De Brebeuf,101 Dean Park Rd,Scarborough,M1B 2X2,E,Open,"{'type': 'Point', 'coordinates': (-79.17404097980072, 43.80251383929229)}"
137,136,220,St John,780 Kingston Rd,former Toronto,M4E 1R7,E,Open,"{'type': 'Point', 'coordinates': (-79.29456867289397, 43.68022438028609)}"
