,lat,long,score
73,50.8644,-113.99556565656566,0.09103983545994519
74,50.8644,-113.99221313131314,0.055277858417381955
75,50.8644,-113.98886060606061,0.04047690421772372
76,50.8644,-113.98550808080809,0.04096498236995394
77,50.8644,-113.98215555555555,0.053102022691092064
78,50.8644,-113.97880303030303,0.07447590503199433
79,50.8644,-113.9754505050505,0.10288013031137128
80,50.8644,-113.97209797979798,0.13547370448512477
81,50.8644,-113.96874545454546,0.16841814653888537
82,50.8644,-113.96539292929293,0.1971306052259842
83,50.8644,-113.96204040404041,0.21708306231689026
84,50.8644,-113.95868787878788,0.22486329175426903
85,50.8644,-113.95533535353536,0.21908560626198495
86,50.8644,-113.95198282828282,0.20077766695009924
87,50.8644,-113.9486303030303,0.17307619192134654
88,50.8644,-113.94527777777778,0.14034707592053097
89,50.8644,-113.94192525252525,0.1070656224335942
90,50.8644,-113.93857272727273,0.07684799781235839
91,50.8644,-113.9352202020202,0.051907937418369084
92,50.8644,-113.93186767676768,0.03300483604940035
93,50.8644,-113.92851515151516,0.019762793351601825
94,50.8644,-113.92516262626263,0.011151127170823382
95,50.8644,-113.9218101010101,0.0
96,50.8644,-113.91845757575757,0.0
97,50.8644,-113.91510505050505,0.0
98,50.8644,-113.91175252525252,0.0
99,50.8644,-113.9084,0.0
100,50.86762626262627,-114.2403,0.0
101,50.86762626262627,-114.23694747474748,0.0
102,50.86762626262627,-114.23359494949496,0.0
103,50.86762626262627,-114.23024242424243,0.0
104,50.86762626262627,-114.22688989898991,0.0
105,50.86762626262627,-114.22353737373737,0.0
106,50.86762626262627,-114.22018484848485,0.0
107,50.86762626262627,-114.21683232323232,0.0
108,50.86762626262627,-114.2134797979798,0.0
109,50.86762626262627,-114.21012727272728,0.0
110,50.86762626262627,-114.20677474747475,0.0
111,50.86762626262627,-114.20342222222223,0.0
112,50.86762626262627,-114.2000696969697,0.0
113,50.86762626262627,-114.19671717171718,0.0
114,50.86762626262627,-114.19336464646464,0.0
115,50.86762626262627,-114.19001212121212,0.0
116,50.86762626262627,-114.1866595959596,0.0
117,50.86762626262627,-114.18330707070707,0.0
118,50.86762626262627,-114.17995454545455,0.0
119,50.86762626262627,-114.17660202020203,0.0
120,50.86762626262627,-114.1732494949495,0.0
121,50.86762626262627,-114.16989696969698,0.0
122,50.86762626262627,-114.16654444444445,0.0
123,50.86762626262627,-114.16319191919192,0.0
124,50.86762626262627,-114.1598393939394,0.0
125,50.86762626262627,-114.15648686868687,0.0
126,50.86762626262627,-114.15313434343435,0.0
127,50.86762626262627,-114.14978181818182,0.0
128,50.86762626262627,-114.1464292929293,0.0
129,50.86762626262627,-114.14307676767677,0.0
130,50.86762626262627,-114.13972424242425,0.0
131,50.86762626262627,-114.13637171717173,0.0
132,50.86762626262627,-114.13301919191919,0.0
133,50.86762626262627,-114.12966666666667,0.0
134,50.86762626262627,-114.12631414141414,0.0
135,50.86762626262627,-114.12296161616162,0.0
136,50.86762626262627,-114.1196090909091,0.0
137,50.86762626262627,-114.11625656565657,0.0
138,50.86762626262627,-114.11290404040405,0.0
139,50.86762626262627,-114.10955151515152,0.0
140,50.86762626262627,-114.106198989899,0.013418013968269884
141,50.86762626262627,-114.10284646464646,0.02421722853640716
142,50.86762626262627,-114.09949393939394,0.041357176609745666
143,50.86762626262627,-114.09614141414141,0.06662308298662618
144,50.86762626262627,-114.09278888888889,0.10109382900889749
145,50.86762626262627,-114.08943636363637,0.14441355168217204
146,50.86762626262627,-114.08608383838384,0.19421359267174965
147,50.86762626262627,-114.08273131313132,0.24603376593518655
148,50.86762626262627,-114.0793787878788,0.29402687341965067
149,50.86762626262627,-114.07602626262627,0.33249001305985126
150,50.86762626262627,-114.07267373737373,0.35792103512039264
151,50.86762626262627,-114.06932121212121,0.3709995444590901
152,50.86762626262627,-114.06596868686869,0.3777891060297204
153,50.86762626262627,-114.06261616161616,0.3896066021707855
154,50.86762626262627,-114.05926363636364,0.42133644961992595
155,50.86762626262627,-114.05591111111112,0.488347541283057
156,50.86762626262627,-114.05255858585859,0.6025032218656249
157,50.86762626262627,-114.04920606060607,0.7680296668614909
158,50.86762626262627,-114.04585353535354,0.9782442473286493
159,50.86762626262627,-114.042501010101,1.214277231919371
160,50.86762626262627,-114.03914848484848,1.4467582668550214
161,50.86762626262627,-114.03579595959596,1.6407910969379231
162,50.86762626262627,-114.03244343434343,1.763434359542782
163,50.86762626262627,-114.02909090909091,1.7917306186774238
164,50.86762626262627,-114.02573838383839,1.718704337730989
165,50.86762626262627,-114.02238585858586,1.5551719643344977
166,50.86762626262627,-114.01903333333334,1.326650105369915
167,50.86762626262627,-114.01568080808082,1.0664910263583927
168,50.86762626262627,-114.01232828282828,0.807726713084488
169,50.86762626262627,-114.00897575757575,0.5763306005950375
170,50.86762626262627,-114.00562323232323,0.38770128345115323
171,50.86762626262627,-114.0022707070707,0.2467039635520603
172,50.86762626262627,-113.99891818181818,0.15032519134482183
173,50.86762626262627,-113.99556565656566,0.09140101327650699
174,50.86762626262627,-113.99221313131314,0.06201071603397207
175,50.86762626262627,-113.98886060606061,0.05568780401048061
176,50.86762626262627,-113.98550808080809,0.06821306337954502
177,50.86762626262627,-113.98215555555555,0.097192513124913
178,50.86762626262627,-113.97880303030303,0.14085309250389605
179,50.86762626262627,-113.9754505050505,0.1965859970091921
180,50.86762626262627,-113.97209797979798,0.25979067188468047
